race_id,year,round,race_name,race_date,circuit_id,circuit_name,circuit_country,circuit_length_KM,circuit_altitude_M,circuit_elevation_change_M,circuit_num_left_turns,circuit_num_right_turns,pressure_mb,humidity_percent,track_temp_C,windspeed_KPH,rainfall,num_red_flag,num_safety_car
989,2018,1,Australian Grand Prix,25/03/2018,1,Albert Park Grand Prix Circuit,Australia,5.303,10,2.6,6,10,997.004,30.915,36.324,3.692,0,0,1
990,2018,2,Bahrain Grand Prix,08/04/2018,3,Bahrain International Circuit,Bahrain,5.412,7,16.9,6,9,1009.494,47.363,32.198,0.958,0,0,0
991,2018,3,Chinese Grand Prix,15/04/2018,17,Shanghai International Circuit,China,5.451,5,7.4,7,9,1018.131,24.089,37.02,1.837,0,0,1
992,2018,4,Azerbaijan Grand Prix,29/04/2018,73,Baku City Circuit,Azerbaijan,6.003,-7,26.8,12,8,1021.913,45.652,25.252,2.223,0,0,2
993,2018,5,Spanish Grand Prix,13/05/2018,4,Circuit de Barcelona-Catalunya,Spain,4.675,109,29.6,7,9,1001.542,52.287,32.339,1.952,1,0,1
994,2018,6,Monaco Grand Prix,27/05/2018,6,Circuit de Monaco,Monaco,3.337,7,42,8,11,1015.211,50.893,34.61,1.382,0,0,0
995,2018,7,Canadian Grand Prix,10/06/2018,7,Circuit Gilles Villeneuve,Canada,4.361,13,5.2,5,8,1017.515,27.825,36.949,2.472,0,0,1
996,2018,8,French Grand Prix,24/06/2018,34,Circuit Paul Ricard,France,5.842,432,33,6,9,966.26,49.049,42.033,1.816,0,0,1
997,2018,9,Austrian Grand Prix,01/07/2018,70,Red Bull Ring,Austria,4.318,678,63.5,3,7,936.11,37.141,45.879,2.485,0,0,0
998,2018,10,British Grand Prix,08/07/2018,9,Silverstone Circuit,UK,5.891,153,11.3,8,10,1008.304,38.74,52.169,1.461,0,0,2
999,2018,11,German Grand Prix,22/07/2018,10,Hockenheimring,Germany,4.574,103,4.3,5,11,1001.4,54.808,40.668,2.009,0,0,1
1000,2018,12,Hungarian Grand Prix,29/07/2018,11,Hungaroring,Hungary,4.381,264,34.7,6,8,983.527,33.007,51.09,1.143,0,0,0
1001,2018,13,Belgian Grand Prix,26/08/2018,13,Circuit de Spa-Francorchamps,Belgium,7.004,401,102.2,9,11,966.91,37.701,27.898,2.04,0,0,1
