constructorStandingsId,raceId,constructorId,constructor_name,points,position,wins,constructor_nationality
26933,989,6,Ferrari,40,1,1,Italian
26934,989,131,Mercedes,22,2,0,German
26935,989,9,Red Bull,20,3,0,Austrian
26936,989,1,McLaren,12,4,0,British
26937,989,4,Renault,7,5,0,French
26938,989,10,Force India,0,6,0,Indian
26939,989,15,Sauber,0,7,0,Swiss
26940,989,3,Williams,0,8,0,British
26941,989,5,Toro Rosso,0,9,0,Italian
26942,989,210,Haas F1 Team,0,10,0,American
26982,990,210,Haas F1 Team,10,7,0,American
26979,990,15,Sauber,2,8,0,Swiss
26981,990,5,Toro Rosso,12,6,0,Italian
26980,990,3,Williams,0,10,0,British
26975,990,9,Red Bull,20,4,0,Austrian
26976,990,1,McLaren,22,3,0,British
26977,990,4,Renault,15,5,0,French
26978,990,10,Force India,1,9,0,Indian
26974,990,131,Mercedes,55,2,0,German
26973,990,6,Ferrari,65,1,2,Italian
26963,991,6,Ferrari,84,2,2,Italian
26964,991,131,Mercedes,85,1,0,German
26965,991,9,Red Bull,55,3,1,Austrian
26966,991,1,McLaren,28,4,0,British
26967,991,4,Renault,25,5,0,French
26968,991,10,Force India,1,9,0,Indian
26969,991,15,Sauber,2,8,0,Swiss
26970,991,3,Williams,0,10,0,British
26971,991,5,Toro Rosso,12,6,0,Italian
26972,991,210,Haas F1 Team,11,7,0,American
26983,992,6,Ferrari,114,1,2,Italian
26984,992,131,Mercedes,110,2,1,German
26985,992,9,Red Bull,55,3,1,Austrian
26986,992,1,McLaren,36,4,0,British
26987,992,4,Renault,35,5,0,French
26988,992,10,Force India,16,6,0,Indian
26989,992,15,Sauber,10,9,0,Swiss
26990,992,3,Williams,4,10,0,British
26991,992,5,Toro Rosso,13,7,0,Italian
26992,992,210,Haas F1 Team,11,8,0,American
26993,993,6,Ferrari,126,2,2,Italian
26994,993,131,Mercedes,153,1,2,German
26995,993,9,Red Bull,80,3,1,Austrian
26996,993,1,McLaren,40,5,0,British
26997,993,4,Renault,41,4,0,French
26998,993,10,Force India,18,7,0,Indian
26999,993,15,Sauber,11,9,0,Swiss
27000,993,3,Williams,4,10,0,British
27001,993,5,Toro Rosso,13,8,0,Italian
27002,993,210,Haas F1 Team,19,6,0,American
27003,994,6,Ferrari,156,2,2,Italian
27004,994,131,Mercedes,178,1,2,German
27005,994,9,Red Bull,107,3,2,Austrian
27006,994,1,McLaren,40,5,0,British
27007,994,4,Renault,46,4,0,French
27008,994,10,Force India,26,6,0,Indian
27009,994,15,Sauber,11,9,0,Swiss
27010,994,3,Williams,4,10,0,British
27011,994,5,Toro Rosso,19,7,0,Italian
27012,994,210,Haas F1 Team,19,8,0,American
27013,995,6,Ferrari,189,2,3,Italian
27014,995,131,Mercedes,206,1,2,German
27015,995,9,Red Bull,134,3,2,Austrian
27016,995,1,McLaren,40,5,0,British
27017,995,4,Renault,56,4,0,French
27018,995,10,Force India,28,6,0,Indian
27019,995,15,Sauber,12,9,0,Swiss
27020,995,3,Williams,4,10,0,British
27021,995,5,Toro Rosso,19,7,0,Italian
27022,995,210,Haas F1 Team,19,8,0,American
27023,996,6,Ferrari,214,2,3,Italian
27024,996,131,Mercedes,237,1,3,German
27025,996,9,Red Bull,164,3,2,Austrian
27026,996,1,McLaren,40,5,0,British
27027,996,4,Renault,62,4,0,French
27028,996,10,Force India,28,6,0,Indian
27029,996,15,Sauber,13,9,0,Swiss
27030,996,3,Williams,4,10,0,British
27031,996,5,Toro Rosso,19,8,0,Italian
27032,996,210,Haas F1 Team,27,7,0,American
27033,997,6,Ferrari,247,1,3,Italian
27034,997,131,Mercedes,237,2,3,German
27035,997,9,Red Bull,189,3,3,Austrian
27036,997,1,McLaren,44,6,0,British
27037,997,4,Renault,62,4,0,French
27038,997,10,Force India,42,7,0,Indian
27039,997,15,Sauber,16,9,0,Swiss
27040,997,3,Williams,4,10,0,British
27041,997,5,Toro Rosso,19,8,0,Italian
27042,997,210,Haas F1 Team,49,5,0,American
27043,998,6,Ferrari,287,1,4,Italian
27044,998,131,Mercedes,267,2,3,German
27045,998,9,Red Bull,199,3,3,Austrian
27046,998,1,McLaren,48,7,0,British
27047,998,4,Renault,70,4,0,French
27048,998,10,Force India,49,6,0,Indian
27049,998,15,Sauber,16,9,0,Swiss
27050,998,3,Williams,4,10,0,British
27051,998,5,Toro Rosso,19,8,0,Italian
27052,998,210,Haas F1 Team,51,5,0,American
27053,999,6,Ferrari,302,2,4,Italian
27054,999,131,Mercedes,310,1,4,German
27055,999,9,Red Bull,211,3,3,Austrian
27056,999,1,McLaren,48,7,0,British
27057,999,4,Renault,80,4,0,French
27058,999,10,Force India,59,5,0,Indian
27059,999,15,Sauber,18,9,0,Swiss
27060,999,3,Williams,4,10,0,British
27061,999,5,Toro Rosso,20,8,0,Italian
27062,999,210,Haas F1 Team,59,6,0,American
27063,1000,6,Ferrari,335,2,4,Italian
27064,1000,131,Mercedes,345,1,5,German
27065,1000,9,Red Bull,223,3,3,Austrian
27066,1000,1,McLaren,52,7,0,British
27067,1000,4,Renault,82,4,0,French
27068,1000,10,Force India,59,6,0,Indian
27069,1000,15,Sauber,18,9,0,Swiss
