raceId,constructorId,constructor_name,constructor_nationality
989,6,Ferrari,Italian
989,131,Mercedes,German
989,9,Red Bull,Austrian
989,1,McLaren,British
989,4,Renault,French
989,10,Force India,Indian
989,15,Sauber,Swiss
989,3,Williams,British
989,5,Toro Rosso,Italian
989,210,Haas F1 Team,American
990,210,Haas F1 Team,American
990,15,Sauber,Swiss
990,5,Toro Rosso,Italian
990,3,Williams,British
990,9,Red Bull,Austrian
990,1,McLaren,British
990,4,Renault,French
990,10,Force India,Indian
990,131,Mercedes,German
990,6,Ferrari,Italian
991,6,Ferrari,Italian
991,131,Mercedes,German
991,9,Red Bull,Austrian
991,1,McLaren,British
991,4,Renault,French
991,10,Force India,Indian
991,15,Sauber,Swiss
991,3,Williams,British
991,5,Toro Rosso,Italian
991,210,Haas F1 Team,American
992,6,Ferrari,Italian
992,131,Mercedes,German
992,9,Red Bull,Austrian
992,1,McLaren,British
992,4,Renault,French
992,10,Force India,Indian
992,15,Sauber,Swiss
992,3,Williams,British
992,5,Toro Rosso,Italian
992,210,Haas F1 Team,American
993,6,Ferrari,Italian
993,131,Mercedes,German
993,9,Red Bull,Austrian
993,1,McLaren,British
993,4,Renault,French
993,10,Force India,Indian
993,15,Sauber,Swiss
993,3,Williams,British
993,5,Toro Rosso,Italian
993,210,Haas F1 Team,American
994,6,Ferrari,Italian
994,131,Mercedes,German
994,9,Red Bull,Austrian
994,1,McLaren,British
994,4,Renault,French
994,10,Force India,Indian
994,15,Sauber,Swiss
994,3,Williams,British
994,5,Toro Rosso,Italian
994,210,Haas F1 Team,American
995,6,Ferrari,Italian
995,131,Mercedes,German
995,9,Red Bull,Austrian
995,1,McLaren,British
995,4,Renault,French
995,10,Force India,Indian
995,15,Sauber,Swiss
995,3,Williams,British
995,5,Toro Rosso,Italian
995,210,Haas F1 Team,American
996,6,Ferrari,Italian
996,131,Mercedes,German
996,9,Red Bull,Austrian
996,1,McLaren,British
996,4,Renault,French
996,10,Force India,Indian
996,15,Sauber,Swiss
996,3,Williams,British
996,5,Toro Rosso,Italian
996,210,Haas F1 Team,American
997,6,Ferrari,Italian
997,131,Mercedes,German
997,9,Red Bull,Austrian
997,1,McLaren,British
997,4,Renault,French
997,10,Force India,Indian
997,15,Sauber,Swiss
997,3,Williams,British
997,5,Toro Rosso,Italian
997,210,Haas F1 Team,American
998,6,Ferrari,Italian
998,131,Mercedes,German
998,9,Red Bull,Austrian
998,1,McLaren,British
998,4,Renault,French
998,10,Force India,Indian
998,15,Sauber,Swiss
998,3,Williams,British
998,5,Toro Rosso,Italian
998,210,Haas F1 Team,American
999,6,Ferrari,Italian
999,131,Mercedes,German
999,9,Red Bull,Austrian
999,1,McLaren,British
999,4,Renault,French
999,10,Force India,Indian
999,15,Sauber,Swiss
999,3,Williams,British
999,5,Toro Rosso,Italian
999,210,Haas F1 Team,American
1000,6,Ferrari,Italian
1000,131,Mercedes,German
1000,9,Red Bull,Austrian
1000,1,McLaren,British
1000,4,Renault,French
1000,10,Force India,Indian
1000,15,Sauber,Swiss
1000,3,Williams,British
1000,5,Toro Rosso,Italian
1000,210,Haas F1 Team,American
1001,6,Ferrari,Italian
1001,131,Mercedes,German
1001,9,Red Bull,Austrian
1001,1,McLaren,British
1001,4,Renault,French
1001,10,Force India,Indian
1001,15,Sauber,Swiss
1001,3,Williams,British
1001,5,Toro Rosso,Italian
1001,210,Haas F1 Team,American
1002,5,Toro Rosso,Italian
1002,3,Williams,British
1002,10,Force India,Indian
1002,1,McLaren,British
1002,131,Mercedes,German
1002,210,Haas F1 Team,American
1002,15,Sauber,Swiss
1002,6,Ferrari,Italian
1002,9,Red Bull,Austrian
1002,4,Renault,French
1003,6,Ferrari,Italian
1003,131,Mercedes,German
1003,9,Red Bull,Austrian
1003,1,McLaren,British
1003,4,Renault,French
1003,10,Force India,Indian
1003,15,Sauber,Swiss
1003,3,Williams,British
1003,5,Toro Rosso,Italian
1003,210,Haas F1 Team,American
1004,6,Ferrari,Italian
1004,131,Mercedes,German
1004,9,Red Bull,Austrian
1004,1,McLaren,British
1004,4,Renault,French
1004,10,Force India,Indian
1004,15,Sauber,Swiss
1004,3,Williams,British
1004,5,Toro Rosso,Italian
1004,210,Haas F1 Team,American
1005,6,Ferrari,Italian
