race_id,driver_id,constructor_id,positionOrder
989,20,6,1
989,1,131,2
989,8,6,3
989,817,9,4
989,4,1,5
989,830,9,6
989,807,4,7
989,822,131,8
989,838,1,9
989,832,4,10
989,815,10,11
989,839,10,12
989,844,15,13
989,840,3,14
989,843,5,15
989,154,210,16
989,825,210,17
989,842,5,18
989,828,15,19
989,845,3,20
990,20,6,1
990,822,131,2
990,1,131,3
990,842,5,4
990,825,210,5
990,807,4,6
990,4,1,7
990,838,1,8
990,828,15,9
990,839,10,10
990,832,4,11
990,844,15,12
990,154,210,13
990,840,3,14
990,845,3,15
990,815,10,16
990,843,5,17
990,8,6,18
990,830,9,19
990,817,9,20
991,817,9,1
991,822,131,2
991,8,6,3
991,1,131,4
991,830,9,5
991,807,4,6
991,4,1,7
991,20,6,8
991,832,4,9
991,825,210,10
991,839,10,11
991,815,10,12
991,838,1,13
991,840,3,14
991,845,3,15
991,828,15,16
991,154,210,17
991,842,5,18
991,844,15,19
991,843,5,20
992,1,131,1
992,8,6,2
992,815,10,3
992,20,6,4
992,832,4,5
992,844,15,6
992,4,1,7
992,840,3,8
992,838,1,9
992,843,5,10
992,828,15,11
992,842,5,12
992,825,210,13
992,822,131,14
992,154,210,15
992,830,9,16
992,817,9,17
992,807,4,18
992,839,10,19
992,845,3,20
993,1,131,1
993,822,131,2
993,830,9,3
993,20,6,4
993,817,9,5
993,825,210,6
993,832,4,7
993,4,1,8
993,815,10,9
993,844,15,10
993,840,3,11
993,843,5,12
993,828,15,13
993,845,3,14
993,838,1,15
993,839,10,16
993,8,6,17
993,154,210,18
993,842,5,19
993,807,4,20
994,817,9,1
994,20,6,2
994,1,131,3
994,8,6,4
994,822,131,5
994,839,10,6
994,842,5,7
994,807,4,8
994,830,9,9
994,832,4,10
994,828,15,11
994,815,10,12
994,825,210,13
994,838,1,14
994,154,210,15
994,845,3,16
994,840,3,17
994,844,15,18
994,843,5,19
994,4,1,20
995,20,6,1
995,822,131,2
995,830,9,3
995,817,9,4
995,1,131,5
995,8,6,6
995,807,4,7
995,832,4,8
995,839,10,9
995,844,15,10
995,842,5,11
995,154,210,12
995,825,210,13
995,815,10,14
995,828,15,15
995,838,1,16
995,845,3,17
995,4,1,18
995,843,5,19
995,840,3,20
996,1,131,1
996,830,9,2
996,8,6,3
996,817,9,4
996,20,6,5
996,825,210,6
996,822,131,7
996,832,4,8
996,807,4,9
996,844,15,10
996,154,210,11
996,838,1,12
996,828,15,13
996,843,5,14
996,845,3,15
996,4,1,16
996,840,3,17
996,815,10,18
996,839,10,19
996,842,5,20
997,830,9,1
997,8,6,2
997,20,6,3
997,154,210,4
997,825,210,5
997,839,10,6
997,815,10,7
997,4,1,8
997,844,15,9
997,828,15,10
997,842,5,11
997,832,4,12
997,845,3,13
997,840,3,14
997,838,1,15
997,1,131,16
997,843,5,17
997,817,9,18
997,822,131,19
997,807,4,20
998,20,6,1
998,1,131,2
998,8,6,3
998,822,131,4
998,817,9,5
998,807,4,6
998,839,10,7
998,4,1,8
998,825,210,9
998,815,10,10
998,838,1,11
998,840,3,12
998,842,5,13
998,845,3,14
998,843,5,20
998,830,9,15
998,154,210,16
998,832,4,17
998,828,15,18
998,844,15,19
999,1,131,1
999,822,131,2
999,8,6,3
999,830,9,4
999,807,4,5
999,154,210,6
999,815,10,7
999,839,10,8
999,828,15,9
999,843,5,10
999,825,210,11
999,832,4,12
999,838,1,13
999,842,5,14
999,844,15,15
999,4,1,16
999,840,3,17
999,20,6,18
999,845,3,19
999,817,9,20
1000,1,131,1
1000,20,6,2
1000,8,6,3
1000,817,9,4
1000,822,131,5
1000,842,5,6
1000,825,210,7
1000,4,1,8
1000,832,4,9
1000,154,210,10
1000,843,5,11
1000,807,4,12
1000,839,10,13
1000,815,10,14
1000,828,15,15
1000,845,3,16
1000,840,3,17
1000,838,1,18
1000,830,9,19
1000,844,15,20
1001,20,6,1
1001,1,131,2
1001,830,9,3
1001,822,131,4
1001,815,10,5
1001,839,10,6
1001,154,210,7
1001,825,210,8
1001,842,5,9
1001,828,15,10
1001,832,4,11
1001,845,3,12
1001,840,3,13
1001,843,5,14
1001,838,1,15
1001,817,9,16
1001,8,6,17
1001,844,15,18
1001,4,1,19
1001,807,4,20
1002,1,131,1
1002,8,6,2
1002,822,131,3
1002,20,6,4
1002,830,9,5
1002,839,10,6
1002,815,10,7
1002,832,4,8
1002,840,3,9
1002,845,3,10
1002,844,15,11
1002,838,1,12
1002,807,4,13
1002,842,5,14
1002,828,15,15
1002,825,210,16
1002,817,9,17
1002,4,1,18
1002,843,5,19
1002,154,210,20
1003,1,131,1
1003,830,9,2
1003,20,6,3
1003,822,131,4
1003,8,6,5
1003,817,9,6
1003,4,1,7
1003,832,4,8
1003,844,15,9
1003,807,4,10
1003,828,15,11
1003,838,1,12
1003,842,5,13
1003,840,3,14
1003,154,210,15
1003,815,10,16
1003,843,5,17
1003,825,210,18
1003,845,3,19
1003,839,10,20
1004,1,131,1
1004,822,131,2
1004,20,6,3
1004,8,6,4
1004,830,9,5
1004,817,9,6
1004,844,15,7
1004,825,210,8
1004,839,10,9
1004,815,10,10
1004,154,210,11
1004,807,4,12
1004,828,15,13
1004,4,1,14
1004,840,3,15
1004,838,1,16
1004,832,4,17
1004,845,3,18
1004,842,5,19
1004,843,5,20
1005,1,131,1
1005,822,131,2
1005,830,9,3
1005,817,9,4
1005,8,6,5
1005,20,6,6
1005,815,10,7
1005,154,210,8
1005,839,10,9
1005,832,4,10
1005,842,5,11
1005,828,15,12
1005,843,5,13
1005,4,1,14
1005,838,1,15
1005,845,3,16
1005,840,3,17
1005,844,15,18
1005,807,4,19
1005,825,210,20
1006,8,6,1
1006,830,9,2
1006,1,131,3
1006,20,6,4
1006,822,131,5
1006,807,4,6
1006,832,4,7
1006,815,10,8
1006,843,5,9
1006,828,15,10
1006,838,1,11
1006,842,5,12
1006,845,3,13
1006,840,3,14
1006,844,15,15
1006,817,9,16
1006,154,210,17
1006,4,1,18
1006,839,10,19
1006,825,210,20
1007,830,9,1
1007,20,6,2
1007,8,6,3
1007,1,131,4
1007,822,131,5
1007,807,4,6
1007,844,15,7
1007,838,1,8
1007,828,15,9
1007,842,5,10
1007,839,10,11
1007,840,3,12
1007,845,3,13
1007,843,5,14
1007,825,210,15
1007,154,210,16
1007,817,9,17
1007,815,10,18
1007,832,4,19
1007,4,1,20
1008,1,131,1
1008,830,9,2
1008,8,6,3
1008,817,9,4
1008,822,131,5
1008,20,6,6
1008,844,15,7
1008,154,210,8
1008,825,210,9
1008,815,10,10
1008,843,5,11
1008,832,4,12
1008,842,5,13
1008,838,1,14
1008,839,10,15
1008,845,3,16
1008,4,1,17
1008,840,3,18
1008,807,4,19
1008,828,15,20
1009,1,131,1
1009,20,6,2
1009,830,9,3
1009,817,9,4
1009,822,131,5
1009,832,4,6
1009,844,15,7
1009,815,10,8
1009,154,210,9
1009,825,210,10
1009,4,1,11
1009,843,5,12
1009,840,3,13
1009,838,1,14
1009,845,3,15
1009,842,5,16
1009,839,10,17
1009,828,15,18
1009,8,6,19
1009,807,4,20
1010,822,131,1
1010,1,131,2
1010,830,9,3
1010,20,6,4
1010,844,6,5
1010,825,210,6
1010,807,4,7
1010,8,51,8
1010,840,211,9
