race_id,driver_id,stop,lap,time,duration,milliseconds
1073,1,1,14,17:24:04,21.595,21595
1072,1,1,10,20:49:49,20.58,20580
1072,1,2,13,20:58:32,16:35.9,995856
1072,1,3,15,21:22:02,18:06.7,1086674
1071,1,1,7,14:12:37,17.91,17910
1071,1,2,8,14:14:49,18.66,18660
1071,1,3,26,14:39:27,22.69,22690
1071,1,4,43,15:00:52,22.664,22664
1070,1,1,29,13:45:17,22.373,22373
1069,1,1,13,14:25:41,24.481,24481
1069,1,2,37,15:06:30,23.676,23676
1067,1,1,50,16:22:19,22.684,22684
1066,1,1,26,15:47:52,29.878,29878
1066,1,2,49,16:26:32,30.045,30045
1065,1,1,25,15:39:44,25.619,25619
1064,1,1,20,15:28:18,19.77,19770
1064,1,2,39,15:52:19,18.868,18868
1064,1,3,70,16:30:49,19.202,19202
1062,1,1,2,15:07:57,24:09.3,1449259
1062,1,2,4,15:36:34,21.731,21731
1062,1,3,19,15:58:08,21.516,21516
1062,1,4,47,16:36:41,21.208,21208
1061,1,1,2,15:08:00,34:08.4,2048376
1061,1,2,27,16:23:17,40.266,40266
1060,1,1,31,15:40:45,21.005,21005
1060,1,2,53,16:06:32,21.421,21421
1059,1,1,19,15:34:46,30.263,30263
1058,1,1,28,15:35:48,21.219,21219
1058,1,2,69,16:23:22,21.64,21640
1057,1,1,11,16:23:50,22.47,22470
1057,1,2,47,17:33:39,15.432,15432
1057,1,3,48,17:36:47,33:20.9,2000923
1056,1,1,29,15:40:07,23.783,23783
1056,1,2,67,16:28:48,24.244,24244
1055,1,1,28,15:44:07,22.22,22220
1055,1,2,42,16:03:32,22.078,22078
1054,1,1,2,15:06:13,22.426,22426
1054,1,2,3,15:08:36,22.164,22164
1054,1,3,37,15:57:46,26.907,26907
1053,1,1,28,15:49:27,32.112,32112
1053,1,2,31,15:55:30,38.198,38198
1053,1,3,32,15:58:17,24:54.7,1494731
1053,1,4,33,16:24:48,01:05.9,65870
1052,1,1,13,18:30:29,24.839,24839
1052,1,2,28,18:54:40,24.076,24076
1051,1,1,18,17:30:21,25.235,25235
1051,1,2,42,18:05:37,25.381,25381
1047,1,1,10,17:31:09,22.406,22406
1045,1,1,1,17:15:42,19:24.0,1163979
1045,1,2,19,19:10:46,24.061,24061
1045,1,3,35,19:36:16,24.345,24345
1044,1,1,8,13:29:04,23.86,23860
1043,1,1,30,13:52:53,30.382,30382
1043,1,2,52,14:22:55,30.925,30925
1042,1,1,40,14:07:56,27.162,27162
1041,1,1,16,14:37:59,23.983,23983
1041,1,2,45,15:22:31,23.18,23180
1040,1,1,16,14:45:50,41.352,41352
1039,1,2,8,15:31:13,23:56.7,1436696
1039,1,1,7,15:28:37,17.536,17536
1039,1,3,32,16:30:24,22.445,22445
1039,1,4,44,16:47:42,22.8,22800
1039,1,5,45,16:50:26,21:40.9,1300911
1038,1,2,26,15:54:50,25:16.9,1516864
1038,1,1,20,15:41:58,24.671,24671
1038,1,3,28,16:25:20,31.643,31643
1037,1,1,11,15:34:33,23.298,23298
1036,1,1,23,15:45:28,23.377,23377
1036,1,2,50,16:23:05,21.853,21853
1035,1,1,14,14:34:45,28.406,28406
1035,1,2,41,15:16:16,29.402,29402
1034,1,1,13,14:37:01,28.805,28805
1033,1,1,3,15:17:37,22.32,22320
1033,1,2,37,16:04:39,22.264,22264
1033,1,3,66,16:43:33,22.426,22426
1032,1,1,27,15:45:28,21.729,21729
1031,1,1,26,15:43:14,21.85,21850
1031,1,2,56,16:24:00,16.365,16365
1030,1,1,26,17:58:06,22.178,22178
1029,1,1,20,14:37:36,22.882,22882
1029,1,2,43,15:05:54,23.088,23088
1029,1,3,66,15:37:46,23.06,23060
1028,1,1,24,13:53:57,23.943,23943
1027,1,1,23,13:45:01,22.269,22269
1026,1,1,21,14:46:51,23.582,23582
1026,1,2,42,15:19:47,23.591,23591
1025,1,1,28,15:02:28,29.751,29751
1024,1,1,26,21:00:55,28.93,28930
1023,1,1,19,15:40:19,23.912,23912
1023,1,2,49,16:23:22,23.731,23731
1022,1,1,22,15:57:31,23.497,23497
1021,1,1,31,15:55:15,22.88,22880
1021,1,2,48,16:18:24,21.39,21390
1020,1,1,3,15:25:13,20.203,20203
1020,1,2,28,16:04:58,22.947,22947
1020,1,4,47,16:40:10,27.069,27069
1020,1,5,53,16:48:53,20.015,20015
1020,1,6,56,16:53:29,19.61,19610
1019,1,1,20,14:43:34,28.905,28905
1018,1,1,30,15:47:46,30.067,30067
1017,1,1,24,15:51:35,30.186,30186
1016,1,1,28,14:48:57,23.662,23662
1015,1,1,11,15:27:03,24.266,24266
1014,1,1,27,15:50:16,22.265,22265
1014,1,2,46,16:16:43,22.511,22511
