,Race Id,Year,GP,Pressure,Humidity,TrackTemp,WindSpeed,Rainfall,Number of Red Flags,Number of Safety cars deployed
0,989,2018,1,997.004,30.915,36.324,3.692,0,0,1
0,990,2018,2,1009.494,47.363,32.198,0.958,0,0,0
0,991,2018,3,1018.131,24.089,37.02,1.837,0,0,1
0,992,2018,4,1021.913,45.652,25.252,2.223,0,0,2
0,993,2018,5,1001.542,52.287,32.339,1.952,1,0,1
0,994,2018,6,1015.211,50.893,34.61,1.382,0,0,0
0,995,2018,7,1017.515,27.825,36.949,2.472,0,0,1
0,996,2018,8,966.26,49.049,42.033,1.816,0,0,1
0,997,2018,9,936.11,37.141,45.879,2.485,0,0,0
0,998,2018,10,1008.304,38.74,52.169,1.461,0,0,2
0,999,2018,11,1001.4,54.808,40.668,2.009,0,0,1
0,1000,2018,12,983.527,33.007,51.09,1.143,0,0,0
0,1001,2018,13,966.91,37.701,27.898,2.04,0,0,1
0,1002,2018,14,995.219,63.807,30.822,2.124,0,0,1
0,1003,2018,15,1007.811,66.036,33.124,1.979,0,0,1
0,1004,2018,16,1016.534,61.308,29.945,1.997,0,0,0
0,1005,2018,17,1008.193,50.516,37.17,1.792,0,0,1
0,1006,2018,18,1005.9,37.556,30.486,2.091,0,0,0
0,1007,2018,19,784.193,50.709,34.47,1.559,0,0,0
0,1008,2018,20,923.93,75.413,40.069,2.187,0,0,0
0,1009,2018,21,1013.112,45.438,33.318,2.164,0,0,1
0,1010,2019,1,1015.334,70.453,41.313,1.166,0,0,0
0,1011,2019,2,1003.437,53.372,28.611,2.711,0,0,1
0,1012,2019,3,1019.218,45.981,27.337,3.316,0,0,0
0,1013,2019,4,1013.775,51.409,39.654,1.25,0,0,0
0,1014,2019,5,1006.792,54.724,40.727,1.93,0,0,1
0,1015,2019,6,1010.911,52.698,32.729,0.904,1,0,1
0,1016,2019,7,1022.111,16.148,51.098,1.309,0,0,0
0,1017,2019,8,966.724,39.091,54.526,1.679,0,0,0
0,1018,2019,9,940.889,17.965,50.744,1.225,0,0,0
0,1019,2019,10,1006.333,62.136,30.322,2.012,0,0,1
0,1020,2019,11,991.628,87.831,26.441,1.006,1,0,4
0,1021,2019,12,986.485,33.893,44.097,1.194,0,0,0
0,1022,2019,13,968.258,57.03,28.119,2.036,0,0,1
0,1023,2019,14,989.241,51.575,33.041,1.567,0,0,0
0,1024,2019,15,1010.942,66.455,35.753,1.857,0,0,3
0,1025,2019,16,1016.782,67.415,34.332,1.874,0,0,2
0,1026,2019,17,1009.142,57.478,32.184,5.469,0,0,0
0,1027,2019,18,780.509,46.288,41.633,1.327,0,0,0
0,1028,2019,19,1001.476,29.243,29.082,2.553,0,0,0
0,1029,2019,20,924.792,60.289,46.453,1.288,0,0,2
0,1030,2019,21,1015.383,64.471,29.566,1.265,0,0,0
0,1031,2020,1,938.771,33.833,52.025,1.887,0,0,3
0,1032,2020,2,945.91,34.005,39.92,2.228,0,0,1
0,1033,2020,3,986.315,77.193,27.13,1.56,0,0,0
0,1034,2020,4,998.409,44.168,40.633,3.114,0,0,2
0,1035,2020,5,1000.951,58.556,43.228,2.236,0,0,0
0,1036,2020,6,997.704,56.384,47.556,1.545,0,0,0
0,1037,2020,7,962.43,54.853,29.824,1.465,0,0,1
0,1038,2020,8,990.78,40.124,41.201,1.521,0,1,2
0,1039,2020,9,993.615,39.944,43.102,2.365,0,2,3
0,1040,2020,10,1012.879,51.363,40.342,1.429,0,0,1
0,1041,2020,11,947.359,59.404,16.36,1.617,0,0,1
0,1042,2020,12,1007.341,67.528,25.716,4.041,0,0,0
0,1043,2020,13,1017.892,71.137,23.261,1.342,0,0,1
0,1044,2020,14,1008.496,80.161,15.206,1.066,0,0,0
0,1045,2020,15,1015.897,67.847,27.548,0.843,0,1,2
0,1046,2020,16,1015.942,58.169,23.469,1.948,0,0,2
0,1047,2020,17,1015.847,55.447,27.98,2.504,0,0,1
0,1048,2021,1,1014.911,54.517,27.628,0.887,0,0,1
0,1049,2021,2,1011.253,69.489,16.827,0.479,1,1,2
0,1050,2021,3,1004.813,39.404,38.951,0.837,0,0,1
0,1051,2021,4,993.575,57.553,32.922,0.458,0,0,1
0,1052,2021,5,1015.571,61.424,37.596,0.316,0,0,0
0,1053,2021,6,1014.731,55.805,38.315,0.284,0,1,2
0,1054,2021,7,960.638,58.63,35.229,1.166,0,0,0
0,1055,2021,8,938.477,33.247,52.353,0.368,0,0,0
0,1056,2021,9,934.721,49.731,33.184,0.348,0,0,1
0,1057,2021,10,1007.246,37.202,50.932,0.318,0,1,1
0,1058,2021,11,977.631,68.616,37.823,0.568,1,1,1
0,1059,2021,12,970.222,96.436,15.259,0.511,1,2,0
0,1060,2021,13,1021.506,54.108,36.106,0.442,0,0,0
0,1061,2021,14,994.488,33.276,43.528,0.343,0,0,1
0,1062,2021,15,1023.131,61.947,21.757,0.291,0,0,0
0,1063,2021,16,1006.41,93.525,18.181,0.487,0,0,0
0,1064,2021,17,992.13,61.193,37.471,0.854,0,0,0
0,1065,2021,18,784.213,31.211,47.579,0.366,0,0,1
0,1066,2021,19,926.93,60.101,51.561,0.392,0,0,1
0,1067,2021,20,1012.307,75.54,30.603,0.423,0,0,0
0,1068,2021,21,1013.797,76.203,31.685,0.272,0,2,1
0,1069,2021,22,1017.711,59.055,28.466,0.415,0,0,1
