,Time,Status,Message
0,0 days 00:07:56.420000,1,AllClear
1,0 days 00:56:21.333000,2,Yellow
2,0 days 00:56:30.327000,1,AllClear
3,0 days 01:01:52.836000,2,Yellow
4,0 days 01:02:31.497000,4,SCDeployed
5,0 days 01:10:47.603000,1,AllClear
6,0 days 01:11:20.892000,2,Yellow
7,0 days 01:11:28.620000,1,AllClear
8,0 days 01:34:24.520000,2,Yellow
9,0 days 01:34:38.932000,4,SCDeployed
10,0 days 01:40:24.625000,1,AllClear
11,0 days 01:40:34.511000,2,Yellow
12,0 days 01:40:55.235000,4,SCDeployed
13,0 days 01:51:02.467000,1,AllClear
14,0 days 02:00:34.428000,2,Yellow
15,0 days 02:01:44.898000,1,AllClear
16,0 days 02:01:58.819000,2,Yellow
17,0 days 02:02:12.139000,1,AllClear
